article_author,article_title,index_link,article_dt,article_text,article_IP,article_ncomments
windcanblow (戲謔人生),Re: [討論] 716人數=人民的怒氣,https://www.ptt.cc/bbs/HatePolitics/M.1689564732.A.133.html,Mon Jul 17 11:32:10 2023,這就好像看病呀，掛急診都有個明確的主述，也有處理的急迫性，慢性病長期累積會有個突破口，到達那個臨界點人就受不了了。過去顯著的社會運動都有這些特點，而且重點是，人們都會有著不切實際的想像或恐慌，覺得自己出一份力就能立即改變現狀，或是自己不參與就會失去重要的事物，於是他們就會挺身而出。但居住正義跟公正司法這些，很像你的肥胖症跟三高，你知道有那些問題，覺得很煩很痛苦，但你打從心底知道這不是一時兩刻能處理的，甚至你本身就是在擺爛，因為慢性病不會一兩天就殺了你。既無強大的動機，也沒有急迫性，你也不相信誰可以喊喊口號就解決問題，甚至你最近才從股票賺了錢，房子頭期款都繳了，那麼去曬太陽要幹嘛？讓年輕人去體驗一下吧，反正他們一輩子還要上街頭好幾次的，就跟自己當年一樣。想一想你就會覺得這個遊行辦得太早驗證了政府作得沒想像中那麼爛到讓足夠的人願意出門比中指賴清德更早在活動還沒到高潮時就在那說「人多人少，意見都要聽」人家大概打從一大早就從情治單位那知道了什麼。但是在後現代多重事實的架構下，大家都會很阿Q的，八或贏又翻，活動很失敗也很成功，各位鼓鼓掌，繼續在網路上爭個你死我活，過個幾天就會有新的新聞洗過去了。--,1.164.253.240 (臺灣),1
a5687920 (苦大師),[新聞] 「王小姐也去參加716遊行」！　曬V領背,https://www.ptt.cc/bbs/HatePolitics/M.1689564774.A.FB4.html,Mon Jul 17 11:32:51 2023,ETtoday新聞雲「王小姐也去參加716遊行」！　曬V領背心辣照：現場人很多記者施怡妏／綜合報導前立委黃國昌、網紅「館長」陳之漢16日下午2時在凱道舉行「公平正義救台灣」遊行，據警方估計，截至下午3點為止現場來到將近3萬人，一名身材姣好的「王小姐」，穿著V領上衣，露出事業線與活動發放的手牌合照，意外成為「嬌」點，有網友將照片轉發到臉書社團，直呼「王小姐是對的！」有網友在臉書「爆廢公社二館」發文，貼出一張照片，「王小姐是對的，今天有誰也在現場呢？」照片中，該名王姓女子穿著白色的V領上衣，手拿著公平正義的手牌，頭上還帶著橫幅，到現場力挺，雖然王小姐戴著口罩，但水汪汪的大眼睛，以及令人害羞的事業線，仍引起網友關注。據了解，桃園龜山一名「王小姐」（本名姓莊）遇到租屋糾紛而PO網求助，結果受訪時因穿著火辣低胸上衣，一夕爆紅；不過，照片中的王小姐，不是遇到租屋糾紛的王小姐，但該名女子來頭也不小，是一名在IG擁有2萬粉絲的網紅「月月」，她也在該篇貼文底下留言，「我不是那位王小姐，但不管對不對，今天真的很熱」、「我只是支持司法正義跟居住正義參加遊行」。「月月」參加完716遊行後，在臉書上寫下心得，「今天大家辛苦了，也認識到新朋友，現場其實人很多，也不少父母帶小孩一起參加，看著也蠻感動的」。八卦又翻車了 說沒女生參加結果竟然有王小姐參加 能媲美當年的覺青女神了吧王小姐本身也是居住正義的受害者 鐵門生鏽房東竟然不負責難怪對民進黨感到失望--,1.200.138.64 (臺灣),87
loser1 (基輔羅斯進軍烏拉山以西),Re: [新聞] 蔡英文稱「冷氣不錯」對比凱道熱汗  侯,https://www.ptt.cc/bbs/HatePolitics/M.1689564807.A.9BB.html,Mon Jul 17 11:33:25 2023,你是鄉民當然不用穿外套，人家有制服，再熱也只能穿上去，就算七月要出門去集體遊行也只能鼻子摸摸衣服裡面塞冰塊穿出去；我想他們挑的是冬季制服，提前亮相而已。--,125.227.9.148 (臺灣),1
a19870704 (I AM I),[黑特] 熱到翻了怎麼還沒大規模停電,https://www.ptt.cc/bbs/HatePolitics/M.1689564871.A.E97.html,Mon Jul 17 11:34:29 2023,不是整天靠杯政府缺電嗎怎麼這幾天熱到翻了，冷氣開到不要不要的怎麼沒有大規模停電?說好的缺電呢?到底缺在哪?--零卡可樂不是可樂，是可悲!!                         --革命英雄 喬瑟夫 2020--,36.230.187.93 (臺灣),27
TheoEpstein (Red Sox→Cubs→？),[討論] 王婉瑜昨天MVP表現的證據,https://www.ptt.cc/bbs/HatePolitics/M.1689564935.A.2A0.html,Mon Jul 17 11:35:33 2023,剛剛才發現我昨天忘了發這篇了(遮臉)明明圖都擷好了。下午五點半同時間，政黑板全站熱門二，超越C洽板－底下碎碎念。王婉瑜這傑出的一手，其實被威脅最大的「其他的小綠」，也就是基進黨。我柯粉要說一句，上次邱顯智痛罵柯文哲，，就是。也許時代力量不分區還是拿不到5%有席次。但上億政黨補助款的3%得票，看來不是那麼遙不可及了。反而是基進黨，5%不用妄想。現在更要擔心那些「總統支持民進黨，但不分區給泛綠小黨」的會不會去投時代力量。上次蔡英文817，民進黨不分區才拿4xx，三百多萬票是這種人。古人有句名言：1%2%的選票，對民進黨而言就是那個不算什麼的銀幣。但對爭取選舉補助款才能活下來的小黨而言，這是生死交關的事。--綠營再怎麼集中也會有一兩百萬人「總統投民進黨，不分區不投民進黨」。這就是時力跟基進要搶的那塊餅。要打我臉可以啊，就是打我臉了。時力現在就是站穩3分打綠7分打柯的路線啊。這種「我有罵民進黨喔，你不要裝沒看到」但主力是罵柯文哲的風格才適合時力。沒錯。我這篇也才今天第二篇是要洗什麼本來就沒了，之前有民調做出來剩2%現在是死馬當活馬醫，不一定醫得活。差不多是這種比例明顯是被民眾黨瓦解吧。而且現在也打不過民眾黨了。基本上有3%就偷笑。正確來說是「支持民進黨總統候選人」，不分區票投小黨。這種人在2020有三百多萬，我是看不到哪裡被綠營瓦解了？時力選票基礎早就瓦解了，你要不要去看2022議員他們選多差？與其說綠粉，不如說「總統投民進黨，但不分區不投民進黨」的一兩百萬票。2020是三百多萬，我打折了只給一兩百萬。啊？我這篇寫了「時力搶不到民眾黨選票」耶。哪裡轉風向？這句我寫的耶↑搶那一兩百萬票真的比搶第三勢力票實在啦。,223.137.127.211 (臺灣),255
hamsters56 (鼠鼠so cute),[新聞] 凱道集會遭噓 侯友宜：民主就是傾聽不同,https://www.ptt.cc/bbs/HatePolitics/M.1689564938.A.94B.html,Mon Jul 17 11:35:36 2023,凱道集會遭噓 侯友宜：民主就是傾聽不同聲音中央廣播電台撰稿編輯：王照坤針對日前參加凱道集會被台下群眾報以噓聲一事，新北市長、國民黨總統參選人侯友宜今天(17日)在主持新北市盃羽球及桌球錦標賽暨友誼賽開幕典禮後受訪指出，自己會坦然面對，因為民主就是傾聽不同聲音；至於民進黨同時間在圓山飯店召開全代會，侯友宜表示，民進黨吹冷氣說風涼話，希望讓沒有傾聽人民聲音的民進黨下架。侯友宜16日出席凱道集會活動，台下有人報以噓聲與倒讚，侯友宜表示，尊重柯文哲的支持者，他坦然面對現場的聲音與動作，民主政治本來就是傾聽不同聲音，且自己致詞時完整呈現社會公平與居住正義，「現場也有很多支持我的朋友」。侯友宜指出，民進黨政府說一套、做一套，大熱天穿外套，完全沒有傾聽烈日底下所有人民的聲音，他說：『(原音)反而在圓山大飯店吹著冷氣說風涼話，我們希望做了不公不義、完全沒有辦法傾聽人民聲音的民進黨下架。』關於藍白合作話題，侯友宜指出，面對有志一同、對執政者有很多意見的聲音，會團結所有力量，一起凝聚下架做不好的民進黨。鴻海集團創辦人郭台銘也出席凱道集會，是否繼續爭取合作機會，侯友宜表示，讓中華民國、讓台灣這塊土地能夠平安是大家的共同信念，「我跟郭董的溝通，在很多理念上是無礙的，所以我們大家一起團結努力往前走」。此外，媒體報導高雄市前市長韓國瑜不會參加國民黨全代會，侯友宜指出，不知道韓如何安排行程，但他會積極團結所有的人，在任何場所都能共同面對，讓中華民國屹立不搖，「我對團結所有人一定有信心」。民進黨選前還說會傾聽民意、跟勞工站在一起結果選上就踐踏民意、向資方傾倒在立法院全面執政，卻只修自己想修的法案一堆法案都躺了好幾年都沒下文--,49.216.133.80 (臺灣),28
blargelp (春日部四郎),[討論] 昌粉沒出來,https://www.ptt.cc/bbs/HatePolitics/M.1689564955.A.8DB.html,Mon Jul 17 11:35:53 2023,"716其實滿多學者在關注的，其中，很多人發現男女比不一樣。柯粉覺得強調男女比 是在找碴。不過「誰願意出來」 本來就是政治社運類學者 主要研究項目。這麼明顯的性別比例，沒注意到的應該是瞎了。交叉比對柯館昌粉,柯粉確實男大於女、館粉根本沒女的、以上都符合本次遊行組成。但黃國昌明明有女粉。黃國昌的粉絲有一些是輕度關注政治，但想知道政治在幹嘛的。黃國昌把立院運行手法說出來的YT, 有些人會看。而且不乏女性。一比對就知道是昌粉沒出來。那這就是大家可以探討的內容了。為什麼昌粉沒出來？1. 國昌消風，人設垮了2. 沒消風，還是昌粉，單純這場的訴求沒辦法說服昌粉出門3. 國昌沒有動員昌粉4. 誰說沒來？樹蔭下50000昌粉5.問就是三立追殺，等證明清白，昌粉又回來了哼哼6. 台上明明就有女昌粉，由粉轉黑王婉諭是哪一種原因，才導致昌粉不出來啊？--",1.200.15.166 (臺灣),24
ntlutw (Louis888),[黑特] 綠憤說沒雙主菜便當絕不參加,https://www.ptt.cc/bbs/HatePolitics/M.1689564991.A.8A0.html,Mon Jul 17 11:36:29 2023,有綠憤跟我說，不管造勢還是遊行只要沒有雙主菜便當牠們絕不參加牠們好懷念以前雙主菜便當的美好時刻時間到了就領便當然後拍屁股走人這就是綠憤的最愛只要雙主菜就好，其他的飯菜就算是大便作的綠憤們也照吃綠憤看到這遍好文，一定又氣到崩潰，然後進來跟林北哭哭林北就來看看，能釣到幾頭綠憤或者綠憤氣到不敢跟林北哭哭也說不定喔呵呵--,101.137.137.159 (臺灣),2
lavarslaker (球爸),[討論] 健身房應該關閉冷氣了吧？,https://www.ptt.cc/bbs/HatePolitics/M.1689565183.A.B80.html,Mon Jul 17 11:39:40 2023,街頭上大家為了柯文哲拋頭顱 傻熱血的曬太陽然後執政黨竟然開冷氣開會其實也不無道理非常建議未來健身房不要開冷氣讓大家知道你苦民所苦讓大家上健身房，就能體驗當初民進黨有多傲慢相信健身房事業會蒸蒸日上，充滿柯粉的汗水淋漓，氣氛永遠好不快活，就是支持蔡英文--,45.144.227.59 (臺灣),49
devidevi (凱特),[討論] 前柯粉或我不是柯粉，是不是很榮耀??,https://www.ptt.cc/bbs/HatePolitics/M.1689563411.A.9A4.html,Mon Jul 17 11:10:09 2023,很多人稱為前柯粉，或我不是柯粉是不是很榮耀的事情但怎麼很少人被稱呼為前民進黨員前賴粉，前英粉是因為稱呼為前民進黨員，前賴粉，前英粉很丟臉嗎???有沒有內情的人知道為什麼沒有前民進黨支持者??--但他們沒自稱前英粉，前綠粉，也沒媒體幫他們稱呼,49.159.219.21 (臺灣),10
meredith001 (￣▽￣),[討論] 柯粉同事：哪個白癡遊行辦下午兩點,https://www.ptt.cc/bbs/HatePolitics/M.1689563445.A.7B2.html,Mon Jul 17 11:10:43 2023,"如題 剛才問柯粉同事昨天為什麼不去遊行，他說:”電玩展有冷氣吹,有香香正妹可以騷擾，幹嘛去凱道活受罪”,聽他越講越氣，最後還說了”哪個白癡把遊行辦在下午兩點的？當兵都沒這麼扯淡。”所以昨天真的有人下午兩點放棄吹冷氣跑去遊行嗎？--",114.137.69.174 (臺灣),76
CCRun (跨國界長跑),[黑特] 柯粉都在怪館長？,https://www.ptt.cc/bbs/HatePolitics/M.1689563543.A.56D.html,Mon Jul 17 11:12:21 2023,我看不管是政黑板還是隔壁板還是其他論壇一堆人都在怪館長整天髒話粗口連發，又是前黑道害的女性柯粉和高知識柯粉都不去遊行了大家覺得真的是館長害的嗎？--,61.231.29.143 (臺灣),19
gerund (動名詞),[討論] 各大群組現在很好釣柯粉,https://www.ptt.cc/bbs/HatePolitics/M.1689563624.A.96B.html,Mon Jul 17 11:13:42 2023,一些大型非政治性的群組最近要釣到潛在的柯粉很容易只需要PO一篇716的新聞然後再無所謂的說一句:黃國昌是地主代表 館長是資方代表就有一堆4%上鉤XDDDDDDDDDDD而且屢試不爽看來...716讓很多柯粉心碎滿地是真的有沒有4%來解釋一下為什麼沒有女生???????????????????--,118.170.15.177 (臺灣),8
s7503228 (情報屋),[新聞] 黃國昌716遊行喊「綠媒該被唾棄」　美女,https://www.ptt.cc/bbs/HatePolitics/M.1689563675.A.38F.html,Mon Jul 17 11:14:33 2023,ET黃國昌716遊行喊「綠媒該被唾棄」　美女主播遭圍剿！連麥都被搶走▲三立主播馬郁雯昨赴遊行現場採訪。（圖／翻攝自IG／馬郁雯）記者周亭瑋／綜合報導前立委黃國昌、網紅「館長」陳之漢昨（16）日在凱道舉行「公平正義救台灣」遊行，氣氛相當熱烈；不過，赴現場採訪的《三立新聞台》主播馬郁雯就委屈表示，黃國昌在台上點名他們是「綠媒」，她更被周圍群眾謾罵，甚至搶走麥克風，不禁感慨「現在是誰在踐踏新聞自由？」主播馬郁雯昨晚在臉書寫道，「今天遊行快到尾聲，黃國昌在台上點名綠媒，直指綠媒踐踏新聞自由，應該被唾棄...此時底下群起鼓譟，那時的我站在椅子上，正等待下午五點連線，當然也直接的被部分民眾公然嗆聲。」她提到，在黃國昌點名綠媒前10分鐘，她已在連線定位點準備，怎料那時就有民眾試圖擾亂，還搶下她的麥克風，好在有其他民眾制止，說她只是在工作，「隨著黃國昌在舞台上大聲痛斥綠媒時，那些大家所想得到的謾罵，幾乎在我耳邊出現，毫不掩飾，參加遊行並非第一次，對面群眾可能出現的情緒，我早習以為常。」▲有民眾搶走她的麥克風。（圖／翻攝自臉書／馬郁雯）最後，馬郁雯更質疑，「現在是誰在踐踏新聞自由，不就是黃國昌本人嗎？這一把道德標準的尺，向來是黃國昌過去打弊時積累的『基本準則』，但這把尺，難不成只能放在別人身上？實在有失公允。」對此，媒體人黃揚明也感嘆，「第一線記者都是無辜的，若沒有他們去採訪，更難將這場活動想傳達的課題讓另一個同溫層知悉。媒體的問題不是一天造成的，過去有許多群眾運動，我都曾看過對不友善的媒體出言、出手攻擊，或是干擾連線。距離理性發聲的公民素養，台灣還很遙遠。」民眾黨支持者水準真好捏 當初中天被舉個牌寫快轉台就委屈到哭直接搶麥克風可不可以算強盜罪或強制罪啊？----,60.249.132.75 (臺灣),301
markban (馬克白),[討論] 716遊行的主題是包牌嗎？,https://www.ptt.cc/bbs/HatePolitics/M.1689563680.A.7E8.html,Mon Jul 17 11:14:38 2023,716遊行結束了也失敗了不過應該很多人跟我一樣不知道這個遊行的主題是什麼要講世代公平台上的好像都有錢人要講司法正義好像也沒什麼論述要講居住正義侯友誼當房東的也上台了所以這其實就只是一場白營包牌造勢大遊行對吧如果標題直接叫ㄘㄨㄚˋ英文下台然後辦在星期六晚上會不會人數就沒那麼少了？--,49.216.238.253 (臺灣),10
joe6304105 (老衲),[討論] 其實昨天遊行的很多女孩紙吧,https://www.ptt.cc/bbs/HatePolitics/M.1689563717.A.152.html,Mon Jul 17 11:15:14 2023,安安塔綠班一直嘲笑柯粉大遊行只有臭酸男肥宅來我覺得有點偏頗你怎麼知道現場不都是生理男心裡女的LGBTQ族群?搞不好這樣算的話女性群眾應該有九成左右了老鐵們你說有沒有道理--,1.200.106.186 (臺灣),11
Mazda6680 (SEALs),[討論] 猴子爬到樹上大家才知道他屁股紅,https://www.ptt.cc/bbs/HatePolitics/M.1689563739.A.066.html,Mon Jul 17 11:15:34 2023,  套句柯文哲自己說過的話...這場真的是整個TMD弱點完整演繹了一遍給公眾看  柯粉就宅宅市場，真的都單男居絕大多數..宅不是負面詞不過也有分兇的跟無害的  716當天去動漫展的還比較實在一點，除了開心有妹可以拍照還有冷氣可以吹  剩下的不到兩萬人就...  我也是很佩服這些人啦，放假不去打工說日子不好過? 不然也在家吹吹冷氣打手槍  對身心靈還比較健康一點  柯文哲自從服貿開始埋了炸彈，然後不支持私校補助起手~~接著太監說引爆  8800元/300張賣了一整週(今天不知道還有沒有空位釋出?XD)  高雄場人氣冷清、台北場吹了一個月(狂看柯粉推文刷是不是很怕爆棚)呵呵!!  國昌這場才是真的賠了夫人又折兵..畸零王+停車場+自家違建公有地 法務部長又被切割  網路人氣也換不了真實陸軍投票部隊，716之後大不如前..啪!!  沒惹~~  柯的頂點我怕是過了~~不過你各位塔綠班要幫師父頂到郭台銘出線  柯聲勢太早下墜的話，搞不好心一橫就去讓我乾爹併購了也說不定  反正是選不上了~~以現在的情勢評估  最大側翼國昌+館長 能力就只擺在這裡了  三人互蹭是沒市場的--  幹古就找帥大叔，大叔教你真功夫--,61.227.237.204 (臺灣),10
nidhogg (開始負債人生),Re: [討論] 館長警告民進黨：天氣不是永遠這麼熱,https://www.ptt.cc/bbs/HatePolitics/M.1689563753.A.4F6.html,Mon Jul 17 11:15:51 2023,永:館長是真的這樣講還是模擬發言啊？如果真的這麼說，這心態真的把上街頭當鬥爭工具而已，完全是在浪費群眾運動的能量。這要無限制的消耗只會規模越來越小，越來越被當笑話看而已。我原本開玩笑一直在說館昌是臥底，但這樣看起來，館長的腦袋真的怪怪的，也許不是笨反正他直播能賺抖內、便當跟電商有人買就好。但若要形成政治上的旋風，照館長這思維一定失敗，柯師父還不割掉嗎？還是柯師父覺得免錢貼過來便宜爽用就好？--,49.216.134.138 (臺灣),20
a10141013 (FlyBall),[討論] 館長:不理民進黨 民進黨沒資格說話,https://www.ptt.cc/bbs/HatePolitics/M.1689563788.A.159.html,Mon Jul 17 11:16:26 2023,館長昨天在直播說(前情提要) 就是國民黨民眾黨時代力量等在野黨都有派出人員簽署居住正義承諾書只有民進黨沒派連一個議員都沒代表因此館長很生氣民進黨這麼不重視民意館長也同時說不在理民進黨民進黨已經徹底沒救民進黨沒有資格跟他講話--,1.171.8.106 (臺灣),76
newsyho (newsyho),[黑特] Lie導連議會都不進去的說要扛責任,https://www.ptt.cc/bbs/HatePolitics/M.1689563903.A.B65.html,Mon Jul 17 11:18:21 2023,這什麼鬼話幹話來聽聽連民代監督都不去的市長跟我說會當好更高階的？大概會變賴惠帝吧？說什麼黑道三小不進去幹結果自己黨的還買票賄選億長欸？風骨勒？幹你涼還不是裝沒事根本逃避民主監督破百例登革熱可以寫上當政績啦Lie導--,49.216.16.91 (臺灣),3
purplvampire (阿修雷),Re: [討論] 前柯粉或我不是柯粉，是不是很榮耀?,https://www.ptt.cc/bbs/HatePolitics/M.1689563915.A.F55.html,Mon Jul 17 11:18:33 2023,我都自稱是前英粉轉英黑啊，畢竟前兩次小英選總統我都有投，明知道小英第一次選一定不會贏還不是照投，現在轉英黑有什麼好羞恥的？該羞恥的是違背人民期待與承諾的政客吧說要蓋20萬戶社宅結果蓋的社宅數量連柯文哲的零頭都沒有，那選你當總統幹嘛？直接讓柯文哲當總統還比較有用，而賴清德更廢，是標準的生卵無放屎有，不然有人能說賴清德搞10E以上專案成功的政績跟建設嗎？----Sent from  on my iPhone 14 Pro--,39.10.18.50 (臺灣),6
